country,destination,durations,points of interest,budgets,details
"Iceland","Reykjavík",5,11,1675,"Day 1: Arrive in Reykjavík, settle into your hotel, and explore the city or relax in a local geothermal pool. In the evening, go on a guided Northern Lights hunt. Day 2: Visit Raufarhólshellir, one of Iceland's largest lava tubes, and enjoy free time to explore Reykjavík. Day 3: Take the Golden Circle tour, visiting Þingvellir National Park, Geysir geothermal area, and Gullfoss waterfall. End the day with a thrilling snowmobile ride on Langjökull glacier. Day 4: Embark on a super jeep tour to Mýrdalsjökull glacier, hike to Kötlujökull, and explore an incredible natural ice cave. Day 5: Prepare for departure, with optional free time to explore Reykjavík before transferring to Keflavík International Airport."
"Iceland","Reykjavík",3,4,330,"Day 1: Arrive in Reykjavík, explore the city, and optionally visit the Blue Lagoon geothermal spa. In the evening, if conditions permit, embark on a Northern Lights hunt. Day 2: Drive the Golden Circle route, visiting Þingvellir National Park, Geysir geothermal area, and Gullfoss waterfall. Day 3: Depending on your flight schedule, enjoy free time in Reykjavík before departing."
"Iceland","Reykjavík",5,10,835,"Day 1: Arrive in Reykjavík, explore the city, and embark on a Northern Lights tour in the evening. Day 2: Visit the Golden Circle—Þingvellir National Park, Geysir geothermal area, and Gullfoss waterfall. Day 3: Explore the South Coast, including Seljalandsfoss and Skógafoss waterfalls, Reynisfjara black sand beach, and Vík village. Day 4: Tour the Snæfellsnes Peninsula, visiting Kirkjufell mountain, Djúpalónssandur beach, and Arnarstapi village. Day 5: Depart from Reykjavík."
"Iceland","Reykjavík",4,10,881,"Day 1: Arrive in Reykjavík and enjoy a Northern Lights tour in the evening. Day 2: Explore the Golden Circle—Þingvellir National Park, Geysir geothermal area, and Gullfoss waterfall. Day 3: Visit the South Coast, including Seljalandsfoss and Skógafoss waterfalls, and an ice cave tour in Mýrdalsjökull glacier. Day 4: Return to Reykjavík and depart."
"Norway","Oslo, Kirkenes, Honningsvåg, North Cape, Tromsø",7,8,5066,"Day 1: Arrive in Oslo. Day 2: Travel to Kirkenes and check into the Snowhotel. Day 3: Explore Kirkenes and embark on a Northern Lights tour. Day 4: Board the Hurtigruten cruise, visiting Honningsvåg and the North Cape. Day 5: Cruise to Tromsø. Day 6: Explore Tromsø and its attractions. Day 7: Return to Oslo. Day 8: Depart from Oslo."
"Norway","Oslo, Flåm, Bergen, Tromsø",7,14,2865,"Day 1: Arrive in Oslo. Day 2: Travel to Flåm via the Flåm Railway, exploring the scenic landscapes. Day 3: Continue to Bergen, visiting the UNESCO-listed Bryggen Wharf. Day 4: Fly to Tromsø and embark on a Northern Lights tour. Day 5: Explore Tromsø, including the Arctic Cathedral and Polaria. Day 6: Depart from Tromsø."
"Norway","Oslo, Lillehammer, Trondheim, Ålesund, Geirangerfjord, Bergen, Stavanger",17,16,4586,"Day 1: Arrive in Oslo. Days 2-3: Drive to Lillehammer and explore the town. Days 4-5: Continue to Trondheim, visiting Nidaros Cathedral. Days 6-7: Drive along the Atlantic Road to Ålesund. Days 8-9: Explore Geirangerfjord and its surroundings. Days 10-11: Visit Bergen and its attractions. Days 12-13: Travel to Stavanger and explore the city. Day 14: Return to Oslo and depart."
"Ireland","Dublin, Kilkenny, Killarney, Galway, Donegal",8,15,1708,"Day 1: Arrive in Dublin. Days 2-3: Drive to Kilkenny, exploring the medieval city. Days 4-5: Continue to Killarney, visiting the Ring of Kerry. Days 6-7: Explore Galway and the Cliffs of Moher. Days 8-9: Visit Donegal and its coastal scenery. Day 10: Return to Dublin and depart."
"Ireland","Dublin, Cork, Killarney, Galway",5,8,1205,"Day 1: Arrive in Dublin. Days 2-3: Drive to Cork, exploring Blarney Castle. Days 4-5: Continue to Killarney and the Dingle Peninsula. Days 6-7: Visit Galway and the Cliffs of Moher. Return to Dublin and depart."
"Ireland","Dublin, Kilkenny, Cork, Killarney, Galway, Donegal, Belfast",14,15,10275,"Day 1: Arrive in Dublin. Days 2-3: Drive to Kilkenny and explore. Days 4-5: Continue to Cork and Blarney Castle. Days 6-7: Visit Killarney and the Ring of Kerry. Days 8-9: Explore Galway and Connemara. Days 10-11: Visit Donegal and the Giant's Causeway. Days 12-13: Explore Belfast and its history. Day 14: Return to Dublin and depart."
