country,destination,durations,points of interest,budgets,details
Japan,Kyoto,4,8,400,"Day 1: Arrive in Kyoto and check in at your accommodation, then explore the Gion District. Day 2: Visit Fushimi Inari Shrine, Kiyomizu-dera Temple, and Nishiki Market. Day 3: Breakfast, explore Philosopher’s Path and Ginkakuji Temple, visit Kyoto Imperial Palace, Kinkakuji Temple, and Hoganji Temples, shop for souvenirs, and have dinner before heading back to the hotel. Day 4: Head to Nara or Osaka or fly home."
Japan,"Kyoto, Osaka, Nara",3,11,750,"Day 1: Depart from Tokyo via bullet train to Kyoto. In the evening, explore Gion, including Pontocho Alley, the Statue of Izumo-no-Okuni, Yasaka Shrine, and Hanamikoji Street. Day 2: Travel to Osaka to visit Namba and Dotonbori districts, Hozenji Temple, Kuromon Ichiba Market, Shinsekai, Osaka Castle, Shinsaibashi shopping district, and Nipponbashi. Return to Kyoto for the night. Day 3: Explore Arashiyama Bamboo Forest, Kinkaku-ji Temple, and Nara Park, including Todai-ji Temple. Tour concludes in Kyoto, with options to return to Tokyo or proceed to Kansai Airport."
Japan,Tokyo,5,10,970,"Day 1: Arrival in Tokyo with optional airport transfer; overnight in Tokyo. Day 2: Explore Imperial Palace Gardens, Nijubashi Bridge, Asakusa's Senso-ji Temple, Nakamise-dori street, Meiji Jingu Shrine, Harajuku district, and Shibuya Crossing; overnight in Tokyo. Day 3: Visit Oishi Park, Lake Kawaguchi, Arakura-Fuji Sengen Shrine, Mount Fuji 5th Station, and Oshino Hakkai's natural ponds; overnight in Tokyo. Day 4: Tour Tsukiji Fish Market, a 300-year-old Buddhist temple, and a secret observation deck; overnight in Tokyo. Day 5: Departure with optional airport transfer."
Japan,Tokyo,5,7,2500,"Day 1: Arrival in Tokyo; overnight in Tokyo. Day 2: Private walking tour of Asakusa's Senso-ji Temple, Imperial Palace's Outer Garden, Nijubashi Bridge, Harajuku, and Meiji Jingu Shrine; overnight in Tokyo. Day 3: Private tour to Mount Fuji, visiting Arakurayama Sengen Park, Lake Yamanaka, Oishi Park, and Lake Kawaguchi; overnight in Tokyo. Day 4: Private walking tour of Tsukiji Fish Market, including breakfast and tastings; overnight in Tokyo. Day 5: Departure with optional airport transfer."
South Korea,"Seoul, Gyeongju, Busan",10,16,1900,"Day 1: Arrive in Seoul and settle into your accommodation. Day 2: Explore the grand Gyeongbokgung Palace, learn a K-pop dance routine, and record your own K-pop dance video. Day 3: Visit the Demilitarized Zone (DMZ) for a unique historical experience. Day 4: Immerse yourself in traditional Seoul, exploring cultural sites and local markets. Day 5: Experience a temple stay in the mountains, living like a monk. Day 6: Travel to Jeonju, known for its rich history and traditional Hanok village. Day 7: Explore Gyeongju, visiting ancient temples and historical landmarks. Day 8: Continue exploring Gyeongju's cultural sites. Day 9: Visit Busan, enjoying its beaches and vibrant city life. Day 10: Conclude your journey and depart from Korea."
South Korea,"Seoul, Gongju, Buyeo, Jeonju, Suncheon, Yeosu, Busan",3,8,1300,"Day 1: Depart from Seoul to Gongju to visit the Tomb of King Muryeong and Gongsanseong Fortress. Continue to Buyeo to see the Baekje Cultural Land and Nakhwaam Cliff Observatory. Proceed to Jeonju to explore the Jeonju Hanok Village. Overnight in Jeonju. Day 2: Travel to Gwangju, then to Suncheon to visit the Suncheon Bay Garden. Continue to Yeosu to explore the city. Overnight in Yeosu. Day 3: Visit Jinjuseong Fortress in Jinju, then proceed to Busan for a city tour. Tour concludes in Busan."
South Korea,Seoul,6,5,950,"Day 1: Arrive in Seoul and enjoy a welcome dinner in the Myeongdong district. Day 2: Participate in a K-Pop dance class in Hapjeong and visit the HiKR Ground. Day 3: Tour the Demilitarized Zone (DMZ) and meet a North Korean defector. Day 4: Dress in traditional hanbok at Gyeongbokgung Palace, explore Insadong, and sample street food at Gwangjang Market. Day 5: Experience temple life with meditation, chanting, and tea with a monk. Day 6: Departure from Seoul."
South Korea,Pyeongchang,2,2,450,"Day 1: Depart from Seoul and visit Samyang Ranch, Asia's largest organic pasture. Ride the Balwangsan Cable Car, the longest in South Korea, and enjoy panoramic views. Overnight stay in Pyeongchang. Day 2: Visit the filming location of BTS's 'IN THE SOOP' in Pyeongchang. Stroll along Hyangho Beach before returning to Seoul."
China,"Hong Kong, Macau",4,8,1250,"Day 1: Arrive in Hong Kong and check into your hotel. Day 2: Explore Stanley Market's seaside bazaar, visit Aberdeen Fishing Village, and ride the tram to Victoria Peak. Day 3: Take a day trip to Macau to tour historic sites and casinos, enjoy a cable car ride, and watch a fountain show. Day 4: Depart from Hong Kong."
China,Hong Kong,4,5,1050,"Day 1: Arrive in Hong Kong and check into your hotel. Day 2: Ride the tram up Victoria Peak for panoramic views, explore Aberdeen's traditional floating village, and tour the vibrant markets of Kowloon. Day 3: Take a day trip to Macau to walk through its Historic Center, see the iconic Ruins of São Paulo, and experience the blend of Portuguese and Chinese cultures. Day 4: Depart from Hong Kong."
China,Hong Kong,12,13,3200,"Day 1: Ready for Take Off: Off to adventure! Day 2: Sparkling cosmopolitan city: Welcome to Hong Kong! Day 3: Movie-ready backdrops: skyline views & selfies with stars. Day 4: Only in Hong Kong: From moving houses & shopping cruise ships. Day 5: Best of Both Worlds: City Escape & Late Night Vibes. Day 6: Sky High: Big Buddha & superlative light show. Day 7: Hear Me Roar: Dream Views from the Lion Rock. Day 8: Time for New Adventures: Beach Stay or Nature Vibes? Day 9: To Dos: Beach relaxation or sightseeing in a traditional fishing village. Day 10: Perfect Day: Fantastic views & Kwan Tai Temple. Day 11: Time to say goodbye: See you next time! Day 12: Back home: So much to experience - so much to tell!"
China,Beijing,4,5,900,"Day 1: Arrive in Beijing and check into your hotel. Day 2: Explore Tiananmen Square, tour the Forbidden City, and relax at the Summer Palace gardens. Day 3: Climb the iconic Great Wall of China at Badaling and ride a rickshaw through old Hutongs. Day 4: Depart from Beijing."
China,Beijing,4,9,1150,"Day 1: Arrive in Beijing and check into your hotel. Day 2: Visit Tiananmen Square, the Forbidden City, Yonghe Temple, and the Temple of Heaven. Day 3: Explore the Mutianyu section of the Great Wall, see the Bird's Nest Stadium, and enjoy a rickshaw tour of the Hutongs. Day 4: Visit the Panda House, tour the Summer Palace, and transfer to the airport for departure."
China,"Beijing, Xi'an, Shanghai",8,16,2400,"Day 1: Arrive in Beijing and check into your hotel. Day 2: Explore the Forbidden City, the largest and most complete ancient imperial palace in the world. Day 3: Visit the Mutianyu section of the Great Wall, the best-preserved part of the wall. Day 4: Experience a rickshaw tour of the Hutongs, traditional alleyways in Beijing, and admire the elegance of the Summer Palace. Day 5: Discover the Terracotta Warriors in Xi'an, one of the world's most important archaeological finds. Day 6: Take a walk on Riverside Promenade Bingjiang Da Dao in Shanghai. Day 7: Free day to explore Shanghai at your leisure. Day 8: Departure from Shanghai."
