country,destination,durations,points of interest,budgets,details
New Zealand,"Auckland, Rotorua, Queenstown, Christchurch, etc.","8 days, 7 nights",15,CA$4370,"Day 1: Flight to Auckland; transfer to Christchurch; stay at Novotel Christchurch. Day 2: Christchurch city tour, Lake Tekapo; visit Church of the Good Shepherd and night sky observation; stay at Tekapo Resort. Day 3: Visit Mount Cook National Park, Lake Pukaki, Hooker Valley Track; optional helicopter ride; stay at Wanaka. Day 4: Free day in Queenstown for activities like bungee jumping or Milford Sound cruise; stay in Queenstown. Day 5: Fly to Auckland; visit Rotorua and Waitomo Glowworm Caves; stay at Millennium Hotel Rotorua. Day 6: Visit Agrodome Farm, Hobbiton, and Hell's Gate; return to Auckland. Day 7: Auckland city tour and evening flight to Shanghai. Day 8: Arrival back home in Shanghai."
Australia,"Sydney","5 days, 4 nights",13,"$3,263 CAD","Day 01: Arrival in Sydney. Day 02: Sydney Sightseeing with visits to the University, Harbour Bridge, Opera House, Royal Botanic Gardens, and Queen Victoria Building. Day 03: Markets, Parks, and Beaches visiting Sydney Fish Market, Hyde Park, Taronga Zoo, and Bondi Beach. Day 04: Blue Mountains National Park with exploration of Three Sisters and Leura Main Street. Day 05: Departure."
Egypt,"Cairo","4 days, 3 nights",15,"$1,942 CAD","Day 1: Arrival in Cairo with airport transfer and hotel check-in. Day 2: Giza Pyramids & Surrounding Historical Sites visiting Sphinx, Pyramid Complex, Saqqara's Step Pyramid, and Bent Pyramid. Day 3: Historic Cairo with visits to Citadel of Saladin, Alabaster Mosque, Hanging Church, Cave Church, and Khan El Khalili Market. Day 4: Egyptian Museums & Nile River Cruise including Egyptian Museum, Civilization Museum, and evening Nile cruise with buffet dinner."
United Arab Emirates,"Dubai & Abu Dhabi","5 days, 4 nights",24,"$3,526 CAD","Day 1: Arrival in Dubai, with visits to Jumeirah Beach, Jumeirah Mosque, Etihad Towers, Emirates Palace, and Sheikh Zayed Grand Mosque. Day 2: Travel from Abu Dhabi to Dubai, visiting BAPS Hindu Mandir, Dubai Frame, and Al Fahidi Neighborhood. Day 3: Visit Sharjah for Heritage Area, Blue Market, Art Museum, then Ajman Beach and Rain Room. Day 4: Explore Dubai Mall, The Pointe, Jumeirah Canal, and evening dhow cruise along Dubai Creek. Day 5: Free time before departing from Dubai International Airport."Argentina and Chile,"Patagonia","9 day"s",8,"US $ 1756 / CA $2501","Day 1: Arrive in Buenos Aires, flight to El Calafate. Day 2: Explore El Calafate and the Perito Moreno Glacier. Day 3: Visit Los Glaciares National Park. Day 4: Travel to Torres del Paine, Chile. Day 5: Explore Torres del Paine National Park. Day 6: Visit the waterfalls of Paine Grande. Day 7: Travel back to El Calafate. Day 8: Explore El Chalten. Day 9: Return to Buenos Aires."
South America,"Buenos Aires, Iguazu, Perito Moreno, Mendoza",26 days,17,"US $ 7244 / CA $10319","Day 1: Arrive in Buenos Aires. Day 2: Buenos Aires city tour, visit iconic landmarks. Day 3: Fly to Iguazu Falls, explore the falls. Day 4: Visit Perito Moreno Glacier in El Calafate. Day 5: Fly to Mendoza for wine tours. Day 6-26: Explore various destinations across South America including Patagonia, Buenos Aires, and more."
Argentina,"Buenos Aires, Iguazu Falls, Perito Moreno",8 days,8,"US $ 2175 / CA $3098","Day 1: Arrive in Buenos Aires, city tour. Day 2-3: Visit the historic district and tango show. Day 4: Fly to Iguazu Falls for the waterfalls tour. Day 5-6: Visit Perito Moreno Glacier. Day 7: Return to Buenos Aires, free day. Day 8: Departure."
Brazil,"Rio de Janeiro, Iguazu Falls",8 days,5,"US $ 2279 / CA $3246","Day 1: Arrive in Rio de Janeiro, explore Copacabana Beach. Day 2: Visit Sugarloaf Mountain. Day 3: Christ the Redeemer Statue. Day 4: Fly to Iguazu Falls. Day 5: Explore Iguazu Falls, visit the Brazilian side. Day 6: Cross to Argentina for the Argentinean side of the falls. Day 7-8: Explore more, return to Rio de Janeiro."
Argentina,"Buenos Aires, Mendoza, Cordoba",13 days,13,"US $ 3782 / CA $5387","Day 1: Arrive in Buenos Aires, city tour. Day 2-3: Visit the historic Recoleta Cemetery, tango show. Day 4: Fly to Mendoza for wine tasting tours. Day 5-6: Visit Cordoba for the Jesuit Block. Day 7-13: Explore Patagonia, Ushuaia, and the Tierra del Fuego National Park."
Brazil,"Rio, Ilha Grande, Paraty",8 days,7,"US $ 1700 / CA $2423","Day 1: Arrive in Rio de Janeiro, city tour. Day 2: Visit Sugarloaf Mountain. Day 3-4: Travel to Ilha Grande for hiking and beaches. Day 5-6: Travel to Paraty for the colonial architecture tour. Day 7-8: Return to Rio and explore its nightlife."
Argentina and Chile,"Mendoza, Santiago, Buenos Aires",10 days,12,"US $ 3018 / CA $4299","Day 1: Arrive in Mendoza, wine tours. Day 2-4: Continue exploring vineyards. Day 5: Travel to Santiago, Chile for city tour. Day 6-7: Explore Santiago’s historical sites. Day 8-10: Visit Buenos Aires, its plazas, and museums."
