country,destination,durations,points of interest,budgets,details
Canada,"Banff National Park, Jasper National Park, Yoho National Park",8,4,3020,"It doesn’t get more iconic than the Canadian Rockies – snow-capped peaks, glittering lakes and a tranquil escape from the modern world. Give your legs and cameras a workout as you hike through this magnificent scenery. Discover the spectacle of Jasper National Park, explore the rugged beauty of Banff and the showstopping landscapes of Yoho National Park. Search for wildlife at Maligne Lake, wander the famed landscapes of Lake Louise and travel along the iconic Icefields Parkway. Throw in an expert local leader and a group of like-minded travellers, and you’re on track for an unforgettable adventure. This is a walking trip with some hikes taking up to six hours over rocky terrain, so a good level of fitness and appropriate walking gear is a must. This is a camping trip where you are expected to pitch in with setting up tents and helping out with cooking and washing up. It is not uncommon for snow to remain on the ground in higher elevations until the end of May and even during early June. The presence of snow may impact certain activities such as scenic gondolas or mountain hikes. Your trip leader will have a range of alternative activities/hikes to do if a planned activity is impacted by snow. This trip starts on Day 1 as early as 7.30am and finishes on day 8 upon arrival to Calgary at around 4pm. You may wish to pre-book additional nights in Calgary at the start and end of the trip. Day 1 Welcome to the Canadian Rockies! Your adventure begins in Calgary with a welcome meeting at 7.30 am. You’ll meet your local leader and fellow travellers, and then it’s time to hit the road for Banff National Park. Your first hike of the trip will be at Tunnel Mountain. Take in your first experience walking among the Rockies’ unbeatable scenery. As the hike is relatively short, you’ll have some time this afternoon to explore Banff. Why not relax and unwind in the upper hot springs – at a height of 1524 m (5000 ft), these are Canada’s highest natural springs. There’s plenty to keep you entertained in Banff this evening. Maybe head to a local eatery to sample an elk burger or check out what’s on offer at the microbrewery – the views here are worth a toast! Day 2 Make the drive this morning to Lake Louise. Here, you’ll experience natural beauty at its very best – dazzling peaks dusted with snow reflect on the pristine glittering lake, creating an image that looks too perfect to be real. There are many hiking options here, with a range of lengths and levels of difficulty – your leader can give you the best advice on which trail to tackle. Maybe check out the stunning Lake Agnes hike. Heading off on the well-maintained trail, find yourself at a quaint, European-style teahouse on the edge of a gorgeous mountain lake tucked in the shadows of the towering peaks above. After exploring the area, why not make your way back to the Lake Louise Fairmont Hotel? Sitting right on the shores of the lake, it serves as the perfect spot to take in the scenery with some poutine or a cocktail in hand. Late afternoon will bring another chance to visit the hot springs before regrouping with your fellow travellers for dinner. Day 3 Rise bright and early for another day full of adventure. After a scenic ride along Icefield Parkway, arrive at the beautiful Bow Lake and set out on another of the Rockies’ many incredible walks. Your circuit will lead you around the shimmering waters of the lake, skimming a gorge with water rushing below through to an outwash plain where you can see the wild Bow Falls. Take in the epic views that greet you with every step – Crowfoot Mountain, Bow Crow Peak, Mt Gordon and many other peaks make the backdrop for your walk. This afternoon, why not join the optional hike to the incredible Athabasca glacier. Explore the lower glacier, discovering natural ice features, with the Rockies watching over you in the distance. Look down into deep ice crevasses and up towards powerful waterfalls cascading into the ice while learning about how glaciers are formed and the ways they shape the landscape around them. After an exciting day, make your way back to your remote and picturesque campground, where you’ll enjoy a BBQ dinner under the stars. Day 4 This morning, breathe in the fresh mountain air and head out on the Valley of the Five Lakes hike through the remarkable landscapes of Jasper National Park. As the name suggests, you’ll pass by five alpine lakes, each showing off their different shades of blues and greens caused by varying depths, algae and glacial dust. This afternoon is free for you to explore Jasper - perhaps rent a bike, soak in the hot springs, or rest up at camp before dinner. Day 5 Today, you’ll travel to Maligne Lake. Famed for its bright blue waters, this area is known as one of the most beautiful places in Canada. Keep an eye out for wildlife along the way – moose, deer, grizzlies and black bears have all been spotted along this stretch of road. There are two gentle hiking options available in the area, or you may prefer to rent a canoe or kayak to see the lake’s beauty from a different perspective. Your leader will be on hand to make suggestions on the best way to enjoy your time here. Stop for lunch and take some time to soak up the scenery, then spend the afternoon in laidback Jasper. Day 6 This morning, return to the Icefields Parkway. So much more than just a road, the parkway is punctuated with world-class wonders. Making stops along the way, take in the views over magnificent lakes, waterfalls and glaciers. If you’re looking for an adventure, why not head out on an optional hike to the incredible Athabasca glacier. Explore the lower glacier, discovering natural ice features, with the Rockies watching over you in the distance. Look down into deep ice crevasses and up towards powerful waterfalls cascading into the ice while learning about how glaciers are formed and the ways they shape the landscape around them. Alternatively, set out on the Willcox Pass Hike. Trek past wetlands, take in views of the Sunwapta Pass and climb above the tree line, where you’ll find a set of Canada’s famous red chairs, inviting visitors to sit back and take a moment to soak up the view. From up here, you’ll be able to see the glaciers and peaks of the Columbia Icefield, including the Athabasca glacier. Then, drive on to Peyto Lake, made famous by its glacial waters, and take a short hike up to a viewpoint where you can look out across the lake in its glory. Day 7 Begin your day by travelling to Yoho National Park, where you’ll head out on a hike. This half-day hike will take you on a loop of the park and past some of the area's most stunning landmarks, including glacial lakes and epic views over the surrounding mountains and valleys. Stand in the mist of Canada's second tallest waterfall – Takakkaw Falls (where you’ll learn why the name translates to ‘wonderful’ in the First Nations Cree language) and look out over the remarkable Emerald Glacier. Perhaps take a few detours to a few hidden lakes along the way and enjoy some time at Yoho Lake before returning to the trailhead. Day 8 Leave Banff behind this morning and make your way to the start of the Grassi Lakes Trail, your final hike of the trip. It’ll be a short and easy walk, as you follow the trail through evergreen forest to start, pass by an impressive waterfall and then reach the striking colours of Grassi Lakes. The turquoise waters are the perfect place to reflect on the trip that’s been! After, head back to Calgary, where your adventure will come to an end."
Canada,"Banff, Lake Louise, Jasper",6,7,3200,"On Day 1, travelers arrive in Calgary via flight and transfer to Banff with a scenic 1.5-hour drive, checking into the Fairmont Banff Springs or a similar hotel. Day 2 begins with a hotel breakfast, followed by a day exploring Banff National Park, including visits to Sulphur Mountain, Bow Falls, and the Banff Gondola, before returning to the Fairmont Banff Springs. On Day 3, after breakfast, the itinerary features the stunning beauty of Lake Louise and Moraine Lake, with options for canoeing and scenic hiking. The day ends with an overnight stay at the Lake Louise Inn or similar. Day 4 involves a breathtaking drive along the Icefields Parkway to Jasper, with stops at the Columbia Icefield, Athabasca Glacier, and Sunwapta Falls, followed by accommodations at the Fairmont Jasper Park Lodge or similar. Day 5 is dedicated to exploring Jasper National Park, including visits to Maligne Canyon and Maligne Lake, with an optional boat tour available, before returning to the Fairmont Jasper Park Lodge. The journey concludes on Day 6 with breakfast, a transfer back to Calgary, and a return flight home."
Canada,"Banff, Lake Louise, Jasper",7,12,4200,"The journey begins on Day 1 with arrival in Calgary and an overnight stay at the Fairmont Palliser. On Day 2, after breakfast, travelers drive 1.5 hours to Banff to explore Banff National Park, Lake Minnewanka, and Bow Falls, staying overnight at the Fairmont Banff Springs. Day 3 features a 45-minute drive to Lake Louise, where guests visit Lake Louise and Moraine Lake before settling into the Fairmont Chateau Lake Louise for the night. On Day 4, the trip continues with a scenic 3.5-hour drive to Jasper, highlighting stops at Jasper National Park, Maligne Lake, and the Jasper SkyTram, with accommodations at the Fairmont Jasper Park Lodge. Day 5 focuses on Jasper, including visits to Athabasca Falls and exploring Jasper town, with another night at the lodge. Day 6 involves a 5-hour drive back to Calgary, where guests return to the Fairmont Palliser. The journey concludes on Day 7 with breakfast and a flight back home."
Canada,"Banff, Lake Louise, Jasper, Yoho National Park",8,10,4200,"On Day 1, travelers arrive in Calgary via flight and transfer to Banff with a scenic 1.5-hour drive, checking into the Banff Springs Hotel or an equivalent accommodation. Day 2 begins with a hotel breakfast, followed by visits to Banff Gondola, Sulphur Mountain, and Bow Falls, before returning to the same hotel. On Day 3, after breakfast, the itinerary highlights the beauty of Lake Louise and Moraine Lake, offering opportunities for canoeing or hiking. The day concludes with an overnight stay at the Lake Louise Inn or a similar hotel. Day 4 involves a scenic drive along the Icefields Parkway with stops at the Athabasca Glacier, Sunwapta Falls, and the Columbia Icefield Skywalk, leading to an overnight stay at Jasper Park Lodge or similar accommodation. Day 5 is dedicated to exploring Jasper National Park, featuring activities like hiking in Maligne Canyon, visiting Maligne Lake, and taking a boat tour, before returning to Jasper Park Lodge. On Day 6, travelers head to Yoho National Park to visit Emerald Lake, Takakkaw Falls, and the Spiral Tunnels, followed by a return to Lake Louise for the night.Day 7 offers a leisure day in Banff, allowing travelers to relax or enjoy spa activities, with accommodations at the Banff Springs Hotel. The journey concludes on Day 8 with breakfast and a return flight home from Calgary."
Canada,"Deer Lake, Rocky Harbour, Twillingate, Trinity, St John's",8,4,3825,"It's time to explore North America’s most north-easterly point, where the dramatic coastline, mighty fjords and wonderful wildlife will take your breath away. With a knowledgeable leader to guide the way, on this eight-day adventure you’ll experience a landscape that has been shaped by the elements over thousands of years, meet with locals and stop into historic towns surrounded by the splendour of Newfoundland’s famous scenery. Watch huge icebergs bob past the town known as “The Iceberg Capital of the World” in the spring, go whale watching, and spot puffins at one of North America’s best viewing sites. Some of the best scenery in Newfoundland is found on hikes. So, while this trip doesn't require a high level of fitness, it’s essential to be at least moderately fit if you want to partake in all activities. Day 1 Welcome to Newfoundland! Today is free for you to get settled into your surroundings before your adventure gets underway tomorrow. Depending on the weather you might like to go for a canoe or kayak on Deer Lake itself, fans of the creepy crawlies might like to visit the Newfoundland Insectarium or there are plenty of hiking trails around the town if you’d like to stretch your legs. For dinner, why not check out one of the town’s craft breweries? Day 2 Officially kick off your adventure in Deer Lake with a welcome meeting at 8 am where you'll meet your local leader and fellow travellers. After the meeting, you’ll take a scenic drive to Gros Morne National Park to walk around the historic Lobster Cove Lighthouse and enjoy the view of the rolling waves and rocky beaches far below. While at the national park you’ll also get to do something pretty extraordinary – walk on the Earth’s mantle at the Tablelands. The orange landscape sits in stark contrast to the surrounding greens and blues, and there are plenty of unique plants in the area to make note of too. Arrive in Rocky Harbour in the afternoon, and then you might like to join your group for dinner. Day 3 After breakfast, start the day with stops at Norris Point and Green Point, then stroll along the Western Brook Pond Trail and take in the view as you enjoy a picnic lunch before boarding the Western Brook Pond Boat Tour. Don’t forget your camera as you’ll want to capture the dramatic waterfalls, towering cliffs and abundant wildlife that can be found in this glacier-carved land-locked fjord. This afternoon there is time to freshen up before the group comes together again for an optional dinner. Day 4 An early start today will see you enjoying the scenic drive from Rocky Harbour to Twillingate, with a stop at Deer Lake along the way for those who want to buy lunch. After lunch, we’ll arrive and check into our hotel before a late afternoon boat tour where we will spot whales and seabirds. In the spring, you might get to see icebergs floating down the stretch of water known as Iceberg Alley. Afterward, head back to your hotel and take it easy or explore Twillingate which is known as “The Iceberg Capital of the World"". Day 5 Start the day with a visit to the Beothuk Interpretation Centre, which tells the history of the Beothuk people who used to live on Newfoundland. Then, head to the town of Gander. Here, you’ll meet with a local to learn about the role the unassuming town played in one of North America’s most significant events. Due to the closure of North American airspace on 9/11, around 6600 people were diverted to Gander – increasing the town’s population by 70% in a matter of hours. You’ll hear about what went into hosting those numbers, as well as the lasting impact it's had on the town. After lunch at a local restaurant, continue to Trinity where you’ll join a local guide for a walking tour. You then might like to hike up Gun Hill for a bird’s eye view of the town, or perhaps join your travel buddies for a dinner at a local restaurant. Day 6 This morning it’s time to spot puffins at Elliston’s renowned viewing site which offers one of the closest land views of puffins in North America. See if you can also spot the Puffin King, a rock formation which looks like a puffin sitting on a throne. Savor a picnic lunch before driving 20 minutes north to visit the historic Cape Bonavista Lighthouse which is one of the most photographed places in Newfoundland. Climb the stairs to the top of the tower and see the seal oil-fuelled light that was used in the 1800s. Day 7 This morning, enjoy the scenic drive from Trinity to St John’s. Stop to take in the views at Cape Spear Lighthouse and perhaps make it to Canada's easternmost point, then continue to St John’s. There'll be time for lunch before you join back up with your group for a leader-led walking tour of the town, including the iconic colourful houses on ‘Jellybean Row’. After a free afternoon, there’ll be a farewell dinner to mark the end of your adventure. Sample Jigg’s dinner pie, a classic Newfoundland dish, then head to a local pub for a traditional “screech-in” ceremony that involves a shot of screech (rum) and kissing a cod. It’s more fun than you might think! Day 8 After breakfast, your Newfoundland adventure comes to an end. You might choose to do a little more exploring around St John’s before making your way to the airport."
Canada,"Drumheller, Calgary",3,4,1200,"The trip begins on Day 1 with arrival in Calgary, where travelers check into the Hyatt Regency Calgary and have time to explore the city. Day 2 features a 1.5-hour drive to the Drumheller Badlands, where guests visit the Royal Tyrrell Museum, Hoodoos Trail, and Dinosaur Park, before returning to the Hyatt Regency Calgary for the night. The journey concludes on Day 3 with breakfast and a return flight home from Calgary."
Canada,"Halifax, Peggy’s Cove, Cape Breton Island",6,7,2300,"The trip begins on Day 1 with arrival in Halifax, where travelers check into the Halifax Marriott Harbourfront and explore the waterfront. On Day 2, after breakfast, guests take a day trip to Peggy’s Cove to see the iconic lighthouse and visit Lunenburg’s historic sites, returning to the same hotel for the night. Day 3 involves a 3-hour drive to Cape Breton Island, with accommodations at the Keltic Lodge in Ingonish.Day 4 features the stunning Cabot Trail scenic drive through Cape Breton Highlands National Park, followed by another night at the Keltic Lodge. On Day 5, travelers visit Baddeck and the Alexander Graham Bell Museum, enjoying a final evening at the lodge. The journey concludes on Day 6 with a return drive to Halifax, breakfast, and a flight home."
Canada,"Montreal, Quebec City",5,6,2400,"The journey begins on Day 1 with arrival in Montreal, where travelers check into Hotel Nelligan and explore Old Montreal. Day 2 includes a city tour featuring the Notre-Dame Basilica, Mount Royal Park, and Jean-Talon Market, with another night at Hotel Nelligan. On Day 3, after breakfast, guests take a scenic three-hour train ride to Quebec City, check into the Fairmont Le Château Frontenac, and explore Old Quebec. Day 4 is dedicated to Quebec City, with visits to Dufferin Terrace, Montmorency Falls, and the Plains of Abraham, followed by another night at the Fairmont. The trip concludes on Day 5 with a return flight home from Montreal after breakfast."
Canada,"Toronto, Montreal, Quebec City",8,12,3900,"The journey begins on Day 1 with arrival in Toronto and a stay at The Fairmont Royal York. On Day 2, travelers enjoy a city tour visiting the CN Tower, Royal Ontario Museum, and Ripley’s Aquarium. Day 3 features a five-hour train ride to Montreal, where guests explore Old Montreal, Mount Royal, and the Notre-Dame Basilica before checking into Fairmont The Queen Elizabeth. Day 4 is dedicated to Montreal’s highlights, including Jean-Talon Market, Saint Joseph’s Oratory, and the Montreal Museum of Fine Arts.On Day 5, travelers take a three-hour train ride to Quebec City, visiting Old Quebec, Château Frontenac, and Terrasse Dufferin, with accommodations at Fairmont Le Château Frontenac. Day 6 includes a Quebec City tour of Montmorency Falls, the Plains of Abraham, and the Citadel. Day 7 involves a flight back to Toronto for a final night at The Fairmont Royal York. The trip concludes on Day 8 with breakfast and a return flight home."
Canada,"Toronto, Niagara Falls",3,5,1500,"The trip begins on Day 1 with arrival in Toronto, where travelers check into the Fairmont Royal York and explore downtown Toronto. On Day 2, guests take a 1.5-hour journey to Niagara Falls to experience the Maid of the Mist, Journey Behind the Falls, and visit Niagara-on-the-Lake, returning to the Fairmont Royal York for the night. The final day, Day 3, features visits to Toronto landmarks including the CN Tower, Distillery District, and St. Lawrence Market, before concluding with a return flight home."
