country,destination,durations,points of interest,budgets,details
Canada,"Banff National Park, Jasper National Park, Yoho National Park",8,4,3020,"It doesn’t get more iconic than the Canadian Rockies – snow-capped peaks, glittering lakes and a tranquil escape from the modern world. Give your legs and cameras a workout as you hike through this magnificent scenery. Discover the spectacle of Jasper National Park, explore the rugged beauty of Banff and the showstopping landscapes of Yoho National Park. Search for wildlife at Maligne Lake, wander the famed landscapes of Lake Louise and travel along the iconic Icefields Parkway. Throw in an expert local leader and a group of like-minded travellers, and you’re on track for an unforgettable adventure.

This is a walking trip with some hikes taking up to six hours over rocky terrain, so a good level of fitness and appropriate walking gear is a must. This is a camping trip where you are expected to pitch in with setting up tents and helping out with cooking and washing up. It is not uncommon for snow to remain on the ground in higher elevations until the end of May and even during early June. The presence of snow may impact certain activities such as scenic gondolas or mountain hikes. Your trip leader will have a range of alternative activities/hikes to do if a planned activity is impacted by snow. This trip starts on Day 1 as early as 7.30am and finishes on day 8 upon arrival to Calgary at around 4pm. You may wish to pre-book additional nights in Calgary at the start and end of the trip. Day 1 Welcome to the Canadian Rockies! Your adventure begins in Calgary with a welcome meeting at 7.30 am. You’ll meet your local leader and fellow travellers, and then it’s time to hit the road for Banff National Park. Your first hike of the trip will be at Tunnel Mountain. Take in your first experience walking among the Rockies’ unbeatable scenery. As the hike is relatively short, you’ll have some time this afternoon to explore Banff. Why not relax and unwind in the upper hot springs – at a height of 1524 m (5000 ft), these are Canada’s highest natural springs. There’s plenty to keep you entertained in Banff this evening. Maybe head to a local eatery to sample an elk burger or check out what’s on offer at the microbrewery – the views here are worth a toast! Day 2 Make the drive this morning to Lake Louise. Here, you’ll experience natural beauty at its very best – dazzling peaks dusted with snow reflect on the pristine glittering lake, creating an image that looks too perfect to be real. There are many hiking options here, with a range of lengths and levels of difficulty – your leader can give you the best advice on which trail to tackle. Maybe check out the stunning Lake Agnes hike. Heading off on the well-maintained trail, find yourself at a quaint, European-style teahouse on the edge of a gorgeous mountain lake tucked in the shadows of the towering peaks above. After exploring the area, why not make your way back to the Lake Louise Fairmont Hotel? Sitting right on the shores of the lake, it serves as the perfect spot to take in the scenery with some poutine or a cocktail in hand. Late afternoon will bring another chance to visit the hot springs before regrouping with your fellow travellers for dinner. Day 3 Rise bright and early for another day full of adventure. After a scenic ride along Icefield Parkway, arrive at the beautiful Bow Lake and set out on another of the Rockies’ many incredible walks. Your circuit will lead you around the shimmering waters of the lake, skimming a gorge with water rushing below through to an outwash plain where you can see the wild Bow Falls. Take in the epic views that greet you with every step – Crowfoot Mountain, Bow Crow Peak, Mt Gordon and many other peaks make the backdrop for your walk. This afternoon, why not join the optional hike to the incredible Athabasca glacier. Explore the lower glacier, discovering natural ice features, with the Rockies watching over you in the distance. Look down into deep ice crevasses and up towards powerful waterfalls cascading into the ice while learning about how glaciers are formed and the ways they shape the landscape around them. After an exciting day, make your way back to your remote and picturesque campground, where you’ll enjoy a BBQ dinner under the stars. Day 4 This morning, breathe in the fresh mountain air and head out on the Valley of the Five Lakes hike through the remarkable landscapes of Jasper National Park. As the name suggests, you’ll pass by five alpine lakes, each showing off their different shades of blues and greens caused by varying depths, algae and glacial dust. This afternoon is free for you to explore Jasper - perhaps rent a bike, soak in the hot springs, or rest up at camp before dinner. Day 5 Today, you’ll travel to Maligne Lake. Famed for its bright blue waters, this area is known as one of the most beautiful places in Canada. Keep an eye out for wildlife along the way – moose, deer, grizzlies and black bears have all been spotted along this stretch of road. There are two gentle hiking options available in the area, or you may prefer to rent a canoe or kayak to see the lake’s beauty from a different perspective. Your leader will be on hand to make suggestions on the best way to enjoy your time here. Stop for lunch and take some time to soak up the scenery, then spend the afternoon in laidback Jasper. Day 6 This morning, return to the Icefields Parkway. So much more than just a road, the parkway is punctuated with world-class wonders. Making stops along the way, take in the views over magnificent lakes, waterfalls and glaciers. If you’re looking for an adventure, why not head out on an optional hike to the incredible Athabasca glacier. Explore the lower glacier, discovering natural ice features, with the Rockies watching over you in the distance. Look down into deep ice crevasses and up towards powerful waterfalls cascading into the ice while learning about how glaciers are formed and the ways they shape the landscape around them. Alternatively, set out on the Willcox Pass Hike. Trek past wetlands, take in views of the Sunwapta Pass and climb above the tree line, where you’ll find a set of Canada’s famous red chairs, inviting visitors to sit back and take a moment to soak up the view. From up here, you’ll be able to see the glaciers and peaks of the Columbia Icefield, including the Athabasca glacier. Then, drive on to Peyto Lake, made famous by its glacial waters, and take a short hike up to a viewpoint where you can look out across the lake in its glory. Day 7 Begin your day by travelling to Yoho National Park, where you’ll head out on a hike. This half-day hike will take you on a loop of the park and past some of the area's most stunning landmarks, including glacial lakes and epic views over the surrounding mountains and valleys. Stand in the mist of Canada's second tallest waterfall – Takakkaw Falls (where you’ll learn why the name translates to ‘wonderful’ in the First Nations Cree language) and look out over the remarkable Emerald Glacier. Perhaps take a few detours to a few hidden lakes along the way and enjoy some time at Yoho Lake before returning to the trailhead. Day 8 Leave Banff behind this morning and make your way to the start of the Grassi Lakes Trail, your final hike of the trip. It’ll be a short and easy walk, as you follow the trail through evergreen forest to start, pass by an impressive waterfall and then reach the striking colours of Grassi Lakes. The turquoise waters are the perfect place to reflect on the trip that’s been! After, head back to Calgary, where your adventure will come to an end."
Canada,"Banff, Lake Louise, Jasper",6,7,3200,"### Day 01: Arrival in Calgary & Transfer to Banff

- **Flight:** Depart from home city to Calgary.
- **Transportation:** Transfer from Calgary to Banff (1.5 hours).
- **Hotel:** Fairmont Banff Springs or similar.

### Day 02: Banff National Park

- **Breakfast:** Hotel breakfast.
- **Activities:** Visit Sulphur Mountain, Bow Falls, and Banff Gondola.
- **Hotel:** Fairmont Banff Springs or similar.

### Day 03: Lake Louise & Moraine Lake

- **Breakfast:** Hotel breakfast.
- **Activities:** Visit Lake Louise, canoe on Moraine Lake, scenic hiking.
- **Hotel:** Lake Louise Inn or similar.

### Day 04: Icefields Parkway to Jasper

- **Breakfast:** Hotel breakfast.
- **Transportation:** Drive along the Icefields Parkway to Jasper.
- **Sightseeing:** Columbia Icefield, Athabasca Glacier, Sunwapta Falls.
- **Hotel:** Fairmont Jasper Park Lodge or similar.

### Day 05: Jasper National Park

- **Breakfast:** Hotel breakfast.
- **Activities:** Maligne Canyon, Maligne Lake, optional boat tour.
- **Hotel:** Fairmont Jasper Park Lodge or similar.

### Day 06: Departure

- **Breakfast:** Hotel breakfast.
- **Transportation:** Transfer back to Calgary.
- **Flight:** Return flight home from Calgary."
Canada,"Banff, Lake Louise, Jasper",7,12,4200,"### Day 01: Arrival in Calgary

- **Flight:** Depart from home city to Calgary.
- **Hotel:** Fairmont Palliser.

### Day 02: Calgary to Banff

- **Breakfast:** Hotel breakfast.
- **Transportation:** Drive to Banff (1.5 hours).
- **Activities:** Visit Banff National Park, Lake Minnewanka, and Bow Falls.
- **Hotel:** Fairmont Banff Springs.

### Day 03: Banff to Lake Louise

- **Breakfast:** Hotel breakfast.
- **Transportation:** Drive to Lake Louise (45 minutes).
- **Activities:** Visit Lake Louise and Moraine Lake.
- **Hotel:** Fairmont Chateau Lake Louise.

### Day 04: Lake Louise to Jasper

- **Breakfast:** Hotel breakfast.
- **Transportation:** Drive to Jasper (3.5 hours).
- **Activities:** Visit Jasper National Park, Maligne Lake, and Jasper SkyTram.
- **Hotel:** Fairmont Jasper Park Lodge.

### Day 05: Jasper

- **Breakfast:** Hotel breakfast.
- **Activities:** Visit Athabasca Falls and explore Jasper town.
- **Hotel:** Fairmont Jasper Park Lodge.

### Day 06: Jasper to Calgary

- **Breakfast:** Hotel breakfast.
- **Transportation:** Drive back to Calgary (5 hours).
- **Hotel:** Fairmont Palliser.

### Day 07: Return Flight

- **Breakfast:** Hotel breakfast.
- **Flight:** Return home."
Canada,"Banff, Lake Louise, Jasper, Yoho National Park",8,10,4200,"On Day 1, travelers arrive in Calgary via flight and transfer to Banff with a scenic 1.5-hour drive, checking into the Banff Springs Hotel or an equivalent accommodation. Day 2 begins with a hotel breakfast, followed by visits to Banff Gondola, Sulphur Mountain, and Bow Falls, before returning to the same hotel.

On Day 3, after breakfast, the itinerary highlights the beauty of Lake Louise and Moraine Lake, offering opportunities for canoeing or hiking. The day concludes with an overnight stay at the Lake Louise Inn or a similar hotel. Day 4 involves a scenic drive along the Icefields Parkway with stops at the Athabasca Glacier, Sunwapta Falls, and the Columbia Icefield Skywalk, leading to an overnight stay at Jasper Park Lodge or similar accommodation.

Day 5 is dedicated to exploring Jasper National Park, featuring activities like hiking in Maligne Canyon, visiting Maligne Lake, and taking a boat tour, before returning to Jasper Park Lodge. On Day 6, travelers head to Yoho National Park to visit Emerald Lake, Takakkaw Falls, and the Spiral Tunnels, followed by a return to Lake Louise for the night.

Day 7 offers a leisure day in Banff, allowing travelers to relax or enjoy spa activities, with accommodations at the Banff Springs Hotel. The journey concludes on Day 8 with breakfast and a return flight home from Calgary."
Canada,"Deer Lake, Rocky Harbour, Twillingate, Trinity, St John's",8,4,3825,"It's time to explore North America’s most north-easterly point, where the dramatic coastline, mighty fjords and wonderful wildlife will take your breath away. With a knowledgeable leader to guide the way, on this eight-day adventure you’ll experience a landscape that has been shaped by the elements over thousands of years, meet with locals and stop into historic towns surrounded by the splendour of Newfoundland’s famous scenery. Watch huge icebergs bob past the town known as “The Iceberg Capital of the World” in the spring, go whale watching, and spot puffins at one of North America’s best viewing sites.

Some of the best scenery in Newfoundland is found on hikes. So, while this trip doesn't require a high level of fitness, it’s essential to be at least moderately fit if you want to partake in all activities. Day 1 Welcome to Newfoundland! Today is free for you to get settled into your surroundings before your adventure gets underway tomorrow. Depending on the weather you might like to go for a canoe or kayak on Deer Lake itself, fans of the creepy crawlies might like to visit the Newfoundland Insectarium or there are plenty of hiking trails around the town if you’d like to stretch your legs. For dinner, why not check out one of the town’s craft breweries?
Day 2 Officially kick off your adventure in Deer Lake with a welcome meeting at 8 am where you'll meet your local leader and fellow travellers. After the meeting, you’ll take a scenic drive to Gros Morne National Park to walk around the historic Lobster Cove Lighthouse and enjoy the view of the rolling waves and rocky beaches far below. While at the national park you’ll also get to do something pretty extraordinary – walk on the Earth’s mantle at the Tablelands. The orange landscape sits in stark contrast to the surrounding greens and blues, and there are plenty of unique plants in the area to make note of too. Arrive in Rocky Harbour in the afternoon, and then you might like to join your group for dinner. Day 3 After breakfast, start the day with stops at Norris Point and Green Point, then stroll along the Western Brook Pond Trail and take in the view as you enjoy a picnic lunch before boarding the Western Brook Pond Boat Tour. Don’t forget your camera as you’ll want to capture the dramatic waterfalls, towering cliffs and abundant wildlife that can be found in this glacier-carved land-locked fjord. This afternoon there is time to freshen up before the group comes together again for an optional dinner. Day 4 An early start today will see you enjoying the scenic drive from Rocky Harbour to Twillingate, with a stop at Deer Lake along the way for those who want to buy lunch. After lunch, we’ll arrive and check into our hotel before a late afternoon boat tour where we will spot whales and seabirds. In the spring, you might get to see icebergs floating down the stretch of water known as Iceberg Alley. Afterward, head back to your hotel and take it easy or explore Twillingate which is known as “The Iceberg Capital of the World"". Day 5 Start the day with a visit to the Beothuk Interpretation Centre, which tells the history of the Beothuk people who used to live on Newfoundland. Then, head to the town of Gander. Here, you’ll meet with a local to learn about the role the unassuming town played in one of North America’s most significant events. Due to the closure of North American airspace on 9/11, around 6600 people were diverted to Gander – increasing the town’s population by 70% in a matter of hours. You’ll hear about what went into hosting those numbers, as well as the lasting impact it's had on the town. After lunch at a local restaurant, continue to Trinity where you’ll join a local guide for a walking tour. You then might like to hike up Gun Hill for a bird’s eye view of the town, or perhaps join your travel buddies for a dinner at a local restaurant. Day 6 This morning it’s time to spot puffins at Elliston’s renowned viewing site which offers one of the closest land views of puffins in North America. See if you can also spot the Puffin King, a rock formation which looks like a puffin sitting on a throne. Savor a picnic lunch before driving 20 minutes north to visit the historic Cape Bonavista Lighthouse which is one of the most photographed places in Newfoundland. Climb the stairs to the top of the tower and see the seal oil-fuelled light that was used in the 1800s. Day 7 This morning, enjoy the scenic drive from Trinity to St John’s. Stop to take in the views at Cape Spear Lighthouse and perhaps make it to Canada's easternmost point, then continue to St John’s. There'll be time for lunch before you join back up with your group for a leader-led walking tour of the town, including the iconic colourful houses on ‘Jellybean Row’. After a free afternoon, there’ll be a farewell dinner to mark the end of your adventure. Sample Jigg’s dinner pie, a classic Newfoundland dish, then head to a local pub for a traditional “screech-in” ceremony that involves a shot of screech (rum) and kissing a cod. It’s more fun than you might think! Day 8 After breakfast, your Newfoundland adventure comes to an end. You might choose to do a little more exploring around St John’s before making your way to the airport."
Canada,"Drumheller, Calgary",3,4,1200,"### Day 01: Arrival in Calgary

- **Flight:** Depart from home city to Calgary.
- **Other:** Check-in and explore Calgary.
- **Hotel:** Hyatt Regency Calgary.

### Day 02: Drumheller Badlands

- **Breakfast:** Hotel breakfast.
- **Transportation:** Drive to Drumheller (1.5 hours).
- **Activities:** Royal Tyrrell Museum, Hoodoos Trail, Dinosaur Park.
- **Hotel:** Hyatt Regency Calgary.

### Day 03: Departure

- **Breakfast:** Hotel breakfast.
- **Flight:** Return flight home from Calgary."
Canada,"Halifax, Peggy’s Cove, Cape Breton Island",6,7,2300,"### Day 01: Arrival in Halifax

- **Flight:** Depart from home city to Halifax.
- **Other:** Check-in and explore the waterfront.
- **Hotel:** Halifax Marriott Harbourfront.

### Day 02: Peggy’s Cove & Lunenburg

- **Breakfast:** Hotel breakfast.
- **Transportation:** Day trip to Peggy’s Cove and Lunenburg.
- **Activities:** Peggy’s Cove Lighthouse, Lunenburg’s historic sites.
- **Hotel:** Halifax Marriott Harbourfront.

### Day 03: Cape Breton Island

- **Breakfast:** Hotel breakfast.
- **Transportation:** Drive to Cape Breton Island (3 hours).
- **Hotel:** Keltic Lodge, Ingonish.

### Day 04: Cabot Trail Scenic Drive

- **Breakfast:** Hotel breakfast.
- **Activities:** Cabot Trail scenic drive, Cape Breton Highlands National Park.
- **Hotel:** Keltic Lodge, Ingonish.

### Day 05: Baddeck & Alexander Graham Bell Museum

- **Breakfast:** Hotel breakfast.
- **Activities:** Visit Baddeck and Alexander Graham Bell Museum.
- **Hotel:** Keltic Lodge, Ingonish.

### Day 06: Departure

- **Breakfast:** Hotel breakfast.
- **Flight:** Return flight home from Halifax."
Canada,"Montreal, Quebec City",5,6,2400,"### Day 01: Arrival in Montreal

- **Flight:** Depart from home city to Montreal.
- **Other:** Check-in and explore Old Montreal.
- **Hotel:** Hotel Nelligan.

### Day 02: Montreal City Tour

- **Breakfast:** Hotel breakfast.
- **Activities:** Visit Notre-Dame Basilica, Mount Royal Park, Jean-Talon Market.
- **Hotel:** Hotel Nelligan.

### Day 03: Train to Quebec City

- **Breakfast:** Hotel breakfast.
- **Transportation:** Train to Quebec City (3 hours).
- **Activities:** Check-in and explore Old Quebec.
- **Hotel:** Fairmont Le Château Frontenac.

### Day 04: Quebec City Exploration

- **Breakfast:** Hotel breakfast.
- **Activities:** Dufferin Terrace, Montmorency Falls, Plains of Abraham.
- **Hotel:** Fairmont Le Château Frontenac.

### Day 05: Departure

- **Breakfast:** Hotel breakfast.
- **Flight:** Return flight home from Montreal."
Canada,"Toronto, Montreal, Quebec City",8,12,3900,"### Day 01: Arrival in Toronto

- **Flight:** Depart from home city to Toronto.
- **Hotel:** The Fairmont Royal York.

### Day 02: Toronto Tour

- **Breakfast:** Hotel breakfast.
- **Activities:** Visit CN Tower, Royal Ontario Museum, and Ripley’s Aquarium.
- **Hotel:** The Fairmont Royal York.

### Day 03: Toronto to Montreal

- **Breakfast:** Hotel breakfast.
- **Transportation:** Train to Montreal (5 hours).
- **Activities:** Visit Old Montreal, Mount Royal, and the Notre-Dame Basilica.
- **Hotel:** Fairmont The Queen Elizabeth.

### Day 04: Montreal

- **Breakfast:** Hotel breakfast.
- **Activities:** Explore Jean-Talon Market, Saint Joseph's Oratory, and Montreal Museum of Fine Arts.
- **Hotel:** Fairmont The Queen Elizabeth.

### Day 05: Montreal to Quebec City

- **Breakfast:** Hotel breakfast.
- **Transportation:** Train to Quebec City (3 hours).
- **Activities:** Explore Old Quebec, Château Frontenac, and Terrasse Dufferin.
- **Hotel:** Fairmont Le Château Frontenac.

### Day 06: Quebec City Tour

- **Breakfast:** Hotel breakfast.
- **Activities:** Visit Montmorency Falls, Plains of Abraham, and the Citadel.
- **Hotel:** Fairmont Le Château Frontenac.

### Day 07: Return to Toronto

- **Breakfast:** Hotel breakfast.
- **Transportation:** Fly back to Toronto.
- **Hotel:** The Fairmont Royal York.

### Day 08: Return Flight

- **Breakfast:** Hotel breakfast.
- **Flight:** Return home."
Canada,"Toronto, Niagara Falls",3,5,1500,"### Day 01: Arrival in Toronto

- **Flight:** Depart from home city to Toronto.
- **Other:** Check-in and explore downtown Toronto.
- **Hotel:** Fairmont Royal York.

### Day 02: Niagara Falls Day Trip

- **Breakfast:** Hotel breakfast.
- **Transportation:** Drive or train to Niagara Falls (1.5 hours).
- **Activities:** Maid of the Mist, Journey Behind the Falls, Niagara-on-the-Lake.
- **Hotel:** Fairmont Royal York.

### Day 03: Toronto Landmarks

- **Breakfast:** Hotel breakfast.
- **Activities:** CN Tower, Distillery District, St. Lawrence Market.
- **Flight:** Return flight home from Toronto."
